Day ,Items ,Note ,Amount 
68,Salary Expense,Cash Payment - Salary Expense,26722
68,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10880,63
68,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11035,172
68,Depreciation Expense,Non-Cash Expense - Depreciation,10000
68,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1260
68,Rental Expense,Cash Payment - Rental - Detroit,2400
68,Rental Expense,Cash Payment - Rental - Los Angeles,1080
68,Rental Expense,Cash Payment - Rental - New York,2680
68,Rental Expense,Cash Payment - Rental - Chicago,1480
67,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
67,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
67,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
67,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
67,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
67,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
67,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
67,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
67,Salary Expense,Cash Payment - Salary Expense,26634
67,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10744,78
67,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10831,34
67,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10844,58
67,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
67,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
67,Depreciation Expense,Non-Cash Expense - Depreciation,10000
67,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1257
67,Rental Expense,Cash Payment - Rental - Detroit,2400
67,Rental Expense,Cash Payment - Rental - Los Angeles,1080
67,Rental Expense,Cash Payment - Rental - New York,2680
67,Rental Expense,Cash Payment - Rental - Chicago,1480
66,Human Resource Expense,Counselled,2000
66,Human Resource Expense,Counselled,2000
66,Human Resource Expense,Counselled,2000
66,Human Resource Expense,Counselled,2000
66,Human Resource Expense,Counselled,2000
66,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
66,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
66,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
66,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
66,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
66,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
66,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
66,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
66,Salary Expense,Cash Payment - Salary Expense,26634
66,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10645,30
66,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10665,52
66,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
66,Depreciation Expense,Non-Cash Expense - Depreciation,10000
66,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1236
66,Rental Expense,Cash Payment - Rental - Detroit,2400
66,Rental Expense,Cash Payment - Rental - Los Angeles,1080
66,Rental Expense,Cash Payment - Rental - New York,2680
66,Rental Expense,Cash Payment - Rental - Chicago,1480
65,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
65,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
65,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
65,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
65,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
65,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
65,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
65,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
65,Salary Expense,Cash Payment - Salary Expense,26596
65,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10437,31
65,Depreciation Expense,Non-Cash Expense - Depreciation,10000
65,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1188
65,Rental Expense,Cash Payment - Rental - Detroit,2400
65,Rental Expense,Cash Payment - Rental - Los Angeles,1080
65,Rental Expense,Cash Payment - Rental - New York,2680
65,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,258
65,Rental Expense,Cash Payment - Rental - Chicago,1480
64,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
64,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
64,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
64,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
64,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
64,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
64,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
64,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
64,Salary Expense,Cash Payment - Salary Expense,26596
64,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10283,71
64,Depreciation Expense,Non-Cash Expense - Depreciation,10000
64,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1200
64,Rental Expense,Cash Payment - Rental - Detroit,2400
64,Rental Expense,Cash Payment - Rental - Los Angeles,1080
64,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,78
64,Rental Expense,Cash Payment - Rental - New York,2680
64,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,516
64,Rental Expense,Cash Payment - Rental - Chicago,1480
63,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
63,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
63,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
63,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
63,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
63,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
63,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
63,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
63,Salary Expense,Cash Payment - Salary Expense,26596
63,Depreciation Expense,Non-Cash Expense - Depreciation,10000
63,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1131
63,Rental Expense,Cash Payment - Rental - Detroit,2400
63,Rental Expense,Cash Payment - Rental - Los Angeles,1080
63,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,390
63,Rental Expense,Cash Payment - Rental - New York,2680
63,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,688
63,Rental Expense,Cash Payment - Rental - Chicago,1480
62,Human Resource Expense,Counselled,2000
62,Human Resource Expense,Counselled,2000
62,Human Resource Expense,Counselled,2000
62,Human Resource Expense,Counselled,2000
62,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
62,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
62,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
62,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
62,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
62,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
62,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
62,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
62,Salary Expense,Cash Payment - Salary Expense,26552
62,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9918,42
62,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9934,36
62,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
62,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
62,Depreciation Expense,Non-Cash Expense - Depreciation,15000
62,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1362
62,Rental Expense,Cash Payment - Rental - Detroit,2400
62,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,93
62,Rental Expense,Cash Payment - Rental - Los Angeles,1080
62,Rental Expense,Cash Payment - Rental - New York,2680
62,Rental Expense,Cash Payment - Rental - Chicago,1480
61,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
61,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
61,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
61,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
61,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
61,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
61,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
61,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
61,Salary Expense,Cash Payment - Salary Expense,26376
61,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9731,52
61,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9753,43
61,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
61,Depreciation Expense,Non-Cash Expense - Depreciation,15000
61,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2844
61,Rental Expense,Cash Payment - Rental - Detroit,1800
61,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,310
61,Rental Expense,Cash Payment - Rental - Los Angeles,1080
61,Rental Expense,Cash Payment - Rental - New York,2680
61,Rental Expense,Cash Payment - Rental - Chicago,1480
60,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
60,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
60,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
60,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
60,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
60,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
60,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
60,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
60,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
60,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
60,Salary Expense,Cash Payment - Salary Expense,25584
60,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9556,44
60,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9571,36
60,Depreciation Expense,Non-Cash Expense - Depreciation,15000
60,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2454
60,Rental Expense,Cash Payment - Rental - Detroit,1800
60,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,434
60,Rental Expense,Cash Payment - Rental - Los Angeles,1080
60,Rental Expense,Cash Payment - Rental - New York,2680
60,Rental Expense,Cash Payment - Rental - Chicago,1480
59,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
59,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
59,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
59,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
59,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
59,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
59,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
59,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
59,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
59,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
59,Salary Expense,Cash Payment - Salary Expense,25466
59,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9377,114
59,Depreciation Expense,Non-Cash Expense - Depreciation,15000
59,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2676
59,Rental Expense,Cash Payment - Rental - Detroit,1800
59,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,589
59,Rental Expense,Cash Payment - Rental - Los Angeles,1080
59,Rental Expense,Cash Payment - Rental - New York,2680
59,Rental Expense,Cash Payment - Rental - Chicago,1480
58,Human Resource Expense,Counselled,2000
58,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
58,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
58,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
58,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
58,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
58,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
58,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
58,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
58,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
58,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
58,Salary Expense,Cash Payment - Salary Expense,25466
58,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9208,45
58,Depreciation Expense,Non-Cash Expense - Depreciation,15000
58,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2658
58,Rental Expense,Cash Payment - Rental - Detroit,1800
58,Rental Expense,Cash Payment - Rental - Los Angeles,1080
58,Rental Expense,Cash Payment - Rental - New York,2680
58,Rental Expense,Cash Payment - Rental - Chicago,1480
57,Human Resource Expense,Counselled,2000
57,Human Resource Expense,Counselled,2000
57,Human Resource Expense,Counselled,2000
57,Human Resource Expense,Counselled,2000
57,Human Resource Expense,Counselled,2000
57,Human Resource Expense,Counselled,2000
57,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
57,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
57,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
57,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
57,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
57,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
57,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
57,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
57,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
57,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
57,Salary Expense,Cash Payment - Salary Expense,25382
57,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8875,65
57,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9036,76
57,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
57,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
57,Depreciation Expense,Non-Cash Expense - Depreciation,15000
57,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2673
57,Rental Expense,Cash Payment - Rental - Detroit,1800
57,Rental Expense,Cash Payment - Rental - Los Angeles,1080
57,Rental Expense,Cash Payment - Rental - New York,2680
57,Rental Expense,Cash Payment - Rental - Chicago,1480
56,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
56,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
56,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
56,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
56,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
56,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
56,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
56,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
56,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
56,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
56,Salary Expense,Cash Payment - Salary Expense,25382
56,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8853,42
56,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
56,Depreciation Expense,Non-Cash Expense - Depreciation,15000
56,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2280
56,Rental Expense,Cash Payment - Rental - Detroit,1800
56,Rental Expense,Cash Payment - Rental - Los Angeles,1080
56,Rental Expense,Cash Payment - Rental - New York,2680
56,Rental Expense,Cash Payment - Rental - Chicago,1480
55,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
55,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
55,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
55,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
55,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
55,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
55,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
55,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
55,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
55,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
55,Salary Expense,Cash Payment - Salary Expense,25346
55,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8673,65
55,Depreciation Expense,Non-Cash Expense - Depreciation,15000
55,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1818
55,Rental Expense,Cash Payment - Rental - Detroit,1800
55,Rental Expense,Cash Payment - Rental - Los Angeles,1080
55,Rental Expense,Cash Payment - Rental - New York,2680
55,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,172
55,Rental Expense,Cash Payment - Rental - Chicago,1480
54,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
54,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
54,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
54,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
54,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
54,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
54,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
54,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
54,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
54,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
54,Salary Expense,Cash Payment - Salary Expense,25346
54,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8488,103
54,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8514,78
54,Depreciation Expense,Non-Cash Expense - Depreciation,15000
54,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1794
54,Rental Expense,Cash Payment - Rental - Detroit,1800
54,Rental Expense,Cash Payment - Rental - Los Angeles,1080
54,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,702
54,Rental Expense,Cash Payment - Rental - New York,2680
54,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,860
54,Rental Expense,Cash Payment - Rental - Chicago,1480
53,Human Resource Expense,Counselled,2000
53,Human Resource Expense,Counselled,2000
53,Human Resource Expense,Counselled,2000
53,Human Resource Expense,Counselled,2000
53,Human Resource Expense,Counselled,2000
53,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
53,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
53,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
53,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
53,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
53,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
53,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
53,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
53,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
53,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
53,Salary Expense,Cash Payment - Salary Expense,25346
53,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8312,78
53,Depreciation Expense,Non-Cash Expense - Depreciation,15000
53,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2892
53,Rental Expense,Cash Payment - Rental - Detroit,1800
53,Rental Expense,Cash Payment - Rental - Los Angeles,1080
53,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,1248
53,Rental Expense,Cash Payment - Rental - New York,2680
53,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,989
53,Rental Expense,Cash Payment - Rental - Chicago,1480
52,Human Resource Expense,Counselled,2000
52,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
52,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
52,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
52,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
52,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
52,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
52,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
52,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
52,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
52,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
52,Salary Expense,Cash Payment - Salary Expense,25304
52,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7984,79
52,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 8138,115
52,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
52,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
52,Depreciation Expense,Non-Cash Expense - Depreciation,15000
52,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2499
52,Rental Expense,Cash Payment - Rental - Detroit,1800
52,Rental Expense,Cash Payment - Rental - Los Angeles,1080
52,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,1872
52,Rental Expense,Cash Payment - Rental - New York,2680
52,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,1161
52,Rental Expense,Cash Payment - Rental - Chicago,1480
51,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
51,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
51,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
51,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
51,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
51,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
51,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
51,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
51,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
51,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
51,Salary Expense,Cash Payment - Salary Expense,25136
51,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7954,127
51,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
51,Depreciation Expense,Non-Cash Expense - Depreciation,15000
51,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2175
51,Rental Expense,Cash Payment - Rental - Detroit,1800
51,Rental Expense,Cash Payment - Rental - Los Angeles,1080
51,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,2496
51,Rental Expense,Cash Payment - Rental - New York,2680
51,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Chicago,1376
51,Rental Expense,Cash Payment - Rental - Chicago,1480
50,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
50,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
50,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
50,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
50,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
50,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
50,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
50,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
50,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
50,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
50,Salary Expense,Cash Payment - Salary Expense,24380
50,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7780,144
50,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7809,165
50,Depreciation Expense,Non-Cash Expense - Depreciation,15000
50,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2202
50,Rental Expense,Cash Payment - Rental - Detroit,1800
50,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,155
50,Rental Expense,Cash Payment - Rental - Los Angeles,1080
50,Rental Expense,Cash Payment - Rental - New York,2680
50,Rental Expense,Cash Payment - Rental - Chicago,1480
49,Human Resource Expense,Counselled,2000
49,Human Resource Expense,Counselled,2000
49,Human Resource Expense,Counselled,2000
49,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
49,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
49,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
49,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
49,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
49,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
49,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
49,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
49,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
49,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
49,Salary Expense,Cash Payment - Salary Expense,24268
49,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7462,224
49,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7610,129
49,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7620,155
49,Depreciation Expense,Non-Cash Expense - Depreciation,15000
49,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1959
49,Rental Expense,Cash Payment - Rental - Detroit,1800
49,Rental Expense,Cash Payment - Rental - Los Angeles,1080
49,Rental Expense,Cash Payment - Rental - New York,2680
49,Rental Expense,Cash Payment - Rental - Chicago,1480
48,Human Resource Expense,Counselled,2000
48,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
48,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2800
48,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
48,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2000
48,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,2900
48,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,2600
48,Marketing Expense,Cash Payment - Marketing - New York - White Wine,2000
48,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
48,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2700
48,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,3000
48,Salary Expense,Cash Payment - Salary Expense,24268
48,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7266,224
48,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7271,123
48,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 7447,146
48,Depreciation Expense,Non-Cash Expense - Depreciation,15000
48,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,2199
48,Rental Expense,Cash Payment - Rental - Detroit,1800
48,Rental Expense,Cash Payment - Rental - Los Angeles,1080
